# Tried Approaches Log
# Format: DATE | APPROACH | SCORE | RESULT | NOTES
# Read this FIRST. DO NOT repeat anything here.

2026-03-19 | evolutionary-rewrite-v1: gpt-5.4 rewrites entire cheatsheet from errors (gpt-4.1-mini eval, 50 probs) | 70% | PARTIAL | Evolved from empty to 70%, but plateau after gen 4. Evolver destroys TRUE accuracy.
2026-03-19 | evolutionary-rewrite-v2: same + crossover mutations (gpt-4.1-mini eval, 200 probs) | 74% | PARTIAL | Crossovers slightly better. Still can't beat seed. gpt-4.1-mini ceiling ~67%.
2026-03-20 | evolutionary-rewrite-nano: gpt-5.4 rewrites, nano evaluates (50 probs) | 76% | FAILED | Seed stays best after 10 gens. Evolver consistently destroys TRUE accuracy from 84% to 33-41%.
2026-03-20 | append-mode: gpt-5.4 appends sections without rewriting base (nano+mini eval) | 84% | PARTIAL | Best approach so far. Appended content improved FALSE accuracy. But at 10KB limit, no room for more.
2026-03-20 | append-mode-nano: same but nano-only eval (50 probs) | 88% peak, 74% avg | NOISY | 88% on one sample but 54% on another. Variance too high with 50 problems.
2026-03-20 | data-driven-cheatsheet-rewrite: compact v3/v4/v5/v6 variants, feature analysis, composite patterns | 74% (v5 best on official) | REVERTED | Key findings: composite=composite 84% FALSE, unresolved default TRUE 86.8%. v5 got 81.5% on one 200-prob run but 74% on official. Variance dominates. Original appendix helps +10%. Model miscomputes LZ/RZ causing errors.
2026-03-20 | worked-examples-and-verification: cleaner rules + LZ/RZ verification warnings + worked examples + composite=composite FALSE | 83% | KEPT | Best so far. Smaller (5.8KB), clearer rules, added verification steps for LZ/RZ to reduce miscomputation errors.
2026-03-20 | n-other-vars-refinement: added selfref n_other_vars rule + extra counterexample magmas + decision tree format | 83.5% | KEPT | Marginal improvement. FALSE accuracy 90% (was 79%). Quick evals misleading (70-73%) vs official (83.5%). No notes written.
2026-03-20 | composite-rules-and-lm-rm-emphasis: added composite eq rules (eq1_vars vs eq2_vars), step-by-step LM/RM examples, RZ example, LZ verification procedure | 81.5% | REVERTED | Deterministic accuracy 91.6% but model scored 81.5% (below 83.5% best). Composite rules add complexity that hurts more than helps. Scripts: cycle4_analysis.py, generate_cheatsheet_cycle4d.py. Notes: research/notes/cycle_4.md.
2026-03-20 | stop-early-and-minimal-composite: 4 surgical edits: (1) composite n>=5 vars => TRUE, (2) STOP-EARLY instruction after decision tree, (3-4) fix example rule citations >=2 to >=3. | 82% | REVERTED | STOP-EARLY reduced Nones on 30-prob (4→1-2) but official 200-prob gave 82% < 83.5%. FALSE accuracy strong (88%) but TRUE dropped (75%). Scripts: cycle5c generator. Notes: research/notes/cycle_5.md.
